0.1523,0.1507,0.1402,0.1596,0.1676,0.1805,0.1942,0.1765,0.1547,0.1515,0.1531,0.1692,0.1934,0.1870,0.1958,0.2176,0.2385,0.2111,0.2160,0.1862,0.1741,0.1563,0.1547,0.2031,0.2015,0.1982,0.2079,0.2401,0.2144,0.2160,0.2410,0.2152,0.2273,0.2651,0.2933,0.3352,0.4803,0.4344,0.3626,0.3078,0.2659,0.2353,0.2216,0.2200,0.2700,0.3135,0.2804,0.4513,0.6745,0.6536,0.8284,0.8494,0.9130,1.1467,1.2523,1.0533,1.0065,0.9042,0.9082,0.7938,0.7599,0.6697,0.5923,0.5802,0.5440,0.4537,0.4126,0.4215,0.3530,0.3723,0.4279,0.4545,0.4521,0.5246,0.5174,0.5496,0.6810,0.7116,1.3281,1.8986,2.2830,2.9204,3.2678,2.8399,0.0000,0.0000,0.0000,0.0000,2.5481,2.5280,2.5288,2.5256,2.5207,2.5232,2.5199,2.5296,2.5409,2.5385,0.3562,0.6729,0.7245,0.7720,0.7567,0.8284,0.7261,0.7897,0.9912,0.9412,0.9566,1.0170,1.0573,1.1959,1.1951,1.2523,1.3933,1.3418,1.3974,1.2241,1.3232,1.2023,1.1983,1.2402,1.2040,1.0436,0.9960,1.3136,1.2048,1.2894,1.9115,1.1814,1.1032,0.9267,0.7849,0.7446,0.6431,0.6205,0.7285,0.6560,0.6850,0.6116,0.5996,0.5190,0.4779,0.4956,0.4658,0.5295,0.5609,0.4747,0.4908,0.5851,0.5673,0.5480,0.5021,0.6705,0.5826,1.1073,1.7673,2.1871,2.7295,3.2694,3.2613,1.8946,2.8487,2.5054,2.1396,1.7399,1.4159,1.1798,0.9735,1.7463,2.1726,1.6053,0.5053,0.4884,0.4674,0.4158,0.3667,0.3264,0.2804,0.2659,0.2337,0.2377,0.2990,0.2804,0.2442,0.2474,0.2160,0.1999,0.1853,0.2111,0.1942,0.2031,0.1982,0.1813,0.1604,0.1475,0.1563,0.2015,0.1845,0.1773
0.1023,0.1032,0.0999,0.0999,0.1080,0.1056,0.1040,0.1015,0.1007,0.0975,0.1225,0.1249,0.1555,0.1547,0.1910,0.1870,0.1886,0.1725,0.1652,0.1716,0.2337,0.2466,0.2434,0.2224,0.2248,0.2248,0.1966,0.2901,0.4037,0.3594,0.3199,1.1016,1.6778,0.3086,0.4561,0.4255,0.3618,0.3820,0.3876,0.3473,0.5278,0.9179,0.8462,0.8985,1.0057,1.3917,1.4723,1.5005,1.5763,1.7818,1.4755,1.2015,0.9727,0.7938,0.6536,0.5383,0.4456,0.3739,0.3151,0.2700,0.2490,0.3111,0.2893,0.3707,0.4182,0.5174,0.5391,0.5206,0.4867,1.1161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5730,1.9848,3.3000,3.3000,2.5288,2.5215,2.5256,2.5288,2.5328,2.5304,2.5264,0.5802,0.7156,0.7188,0.7865,0.7382,0.7438,0.9598,0.8671,0.9316,1.1048,2.8810,3.3000,3.2766,1.6174,1.4836,1.3885,1.3949,1.2152,1.2330,1.3087,1.3401,1.1193,1.0782,1.1250,0.9703,0.8486,0.7857,0.7382,0.7519,1.3418,0.5979,0.5198,0.4481,0.4634,0.4529,0.5230,0.6294,0.5762,0.5722,0.5834,0.5432,1.2241,1.8285,2.2588,2.9140,1.7286,1.7116,1.4570,1.2338,1.0726,1.0065,0.8341,0.6922,0.6995,0.6713,0.5762,0.5206,0.4803,0.4755,0.4126,0.3731,0.3417,0.2933,0.2555,0.2224,0.2055,0.2007,0.2571,0.3272,0.2958,0.2812,0.2506,0.2216,0.1926,0.1765,0.2071,0.1813,0.1716,0.1588,0.1434,0.2248,0.2039,0.1870,0.1660,0.1636,0.1571,0.1418,0.1330,0.1225,0.1225,0.1338,0.1265,0.1201,0.1096,0.1217,0.1257,0.1249,0.2434,0.2055,0.1837,0.1676,0.1563,0.1612,0.1555,0.1596,0.1475,0.1547,0.1434,0.1338,0.1330,0.1853,0.1829
0.1249,0.1225,0.1330,0.1354,0.1386,0.1491,0.1628,0.1765,0.2087,0.2184,0.2684,0.3296,0.2958,0.3223,0.3159,0.3151,0.3183,0.3014,0.2587,0.3038,0.3135,0.3352,0.3675,0.4190,0.3844,0.4223,0.3570,0.3868,0.4601,0.5077,0.4593,0.3884,0.3594,0.4174,0.6237,0.8316,0.7994,0.9711,1.0774,1.4538,1.8889,1.7149,1.5400,1.3385,1.2628,1.1435,1.0009,0.9348,0.7696,0.6681,0.6181,0.5440,0.4642,0.3949,0.3393,0.4448,0.5488,0.4674,0.4448,0.4319,0.3997,0.9598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1300,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,2.5328,0.6229,0.7414,0.9598,1.2539,1.2773,1.6214,1.7963,2.1605,2.8955,3.2871,3.2774,2.6561,2.5957,2.2089,1.9236,1.7592,1.5400,1.4433,1.5513,1.4634,1.3136,1.3232,1.2467,1.2652,1.1097,1.0694,0.9364,0.8445,0.8252,0.7341,0.6133,0.6963,0.9332,1.0283,0.8711,0.8373,0.8856,1.4401,2.0082,2.4103,2.8777,3.2750,3.2686,3.1122,2.7673,2.6327,1.6109,1.5070,1.3692,1.2217,1.0557,0.9662,0.8333,1.5432,2.0558,2.4369,0.6648,0.6608,0.5681,0.5085,0.4811,0.4610,0.3941,0.4327,0.6479,0.8776,1.5464,0.8453,0.4529,0.4311,0.3779,0.3264,0.2877,0.2635,0.4239,0.4174,0.3763,0.3618,0.3320,0.3215,0.3183,0.4053,0.5061,0.4440,0.3707,0.3232,0.2925,0.2732,0.2821,0.2829,0.2611,0.2506,0.3360,0.3312,0.3352,0.3223,0.3352,0.2917,0.2659,0.2297,0.2313,0.2321,0.2063,0.2538,0.2547,0.2893,0.4029,0.6399,0.8429,0.8083,0.6963,0.6326,0.6213,0.7736,0.6511,0.5649,0.5472
0.1354,0.1338,0.2321,0.2144,0.2434,0.3288,0.3433,0.3183,0.3505,0.3522,0.3449,0.3933,0.3449,0.2933,0.2538,0.2651,0.2837,0.2724,0.3296,0.4593,0.4473,1.2120,1.7197,0.3892,0.3651,0.3594,0.3473,0.2958,0.2434,0.3312,0.4755,0.5480,0.6471,0.6237,0.8542,1.0936,1.3651,1.1822,1.1379,1.2789,1.3055,1.4465,1.2370,1.2692,1.1878,1.0589,0.8864,0.7237,0.5988,0.4924,0.4126,0.4497,0.6302,0.5697,0.5311,0.4626,0.5061,0.5947,0.5802,0.4811,0.5278,0.8526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2492,2.0574,3.3000,3.3000,3.3000,2.5199,2.5232,0.4714,0.6173,0.6947,0.6608,0.7067,0.6334,0.5617,0.6004,0.6205,0.6382,0.6818,0.6705,0.8147,1.0944,0.9630,1.0146,0.9477,1.7020,2.0437,1.6730,1.4095,1.2168,1.0468,0.9284,0.8679,0.8639,0.9187,1.2297,1.3184,1.1234,1.0178,1.2088,1.2507,1.7890,2.2814,0.8558,0.7156,0.5923,0.4932,0.4867,0.4239,0.3908,0.3957,0.3328,0.3062,0.3457,0.3546,0.3659,0.3570,0.4102,0.3312,0.2893,0.2522,0.2264,0.2297,0.2232,0.2401,0.2087,0.2160,0.2353,0.2845,0.8897,1.5311,1.9470,2.5449,1.2322,1.5199,1.3208,1.0863,0.8832,0.7269,0.5923,0.4908,0.4255,0.3578,0.3086,0.2651,0.2369,0.2297,0.2273,0.2039,0.1910,0.1725,0.1596,0.1426,0.1314,0.1338,0.1354,0.1289,0.1193,0.1177,0.1225,0.1217,0.1136,0.1322,0.1338,0.1265,0.1193,0.1201,0.1072,0.1088,0.1064,0.1040,0.0999,0.0975,0.0959,0.0959,0.0951,0.0959,0.0967,0.0935,0.0903,0.0903,0.0886,0.0935,0.0911,0.0943,0.0927,0.0927,0.0903,0.0927
0.1120,0.1160,0.1434,0.1483,0.2321,0.2410,0.3151,0.3232,0.3223,0.2764,0.2450,0.2418,0.2200,0.2684,0.2442,0.2176,0.2031,0.2700,0.4537,0.4295,0.4239,0.4303,1.2942,2.7496,3.3000,0.7503,3.2734,2.6513,2.4337,2.1678,1.9897,1.6907,1.5521,1.3724,1.1774,1.0718,0.8647,1.3667,1.3216,1.1040,0.9316,0.7599,0.6245,0.5174,0.4319,0.3933,0.4456,0.4440,0.6326,0.6326,0.6471,0.5842,0.5254,0.4424,0.4940,1.5126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0105,0.0000,3.1977,3.3000,3.3000,0.5963,0.5963,0.5222,0.4650,0.5061,0.6173,0.5738,0.5955,0.6334,1.0307,1.2152,1.1363,1.4965,1.7028,1.5086,1.4505,1.3780,1.1822,1.1322,1.2886,1.1040,0.9227,0.9171,0.8179,0.7623,0.8316,0.8462,0.8051,0.9251,1.1798,1.1443,1.0065,0.8792,1.2757,2.0493,2.5449,2.9922,1.5102,1.5650,1.3273,1.1274,0.9832,0.9114,0.8599,0.7543,0.6382,0.5786,1.5295,2.0372,2.3934,3.2267,1.3958,1.4385,1.2692,1.0436,0.8623,0.7092,0.5996,0.5480,0.5174,0.4682,0.4199,0.7954,1.1153,0.3022,0.3135,0.2933,0.2555,0.2337,0.2023,0.2127,0.1918,0.1942,0.2184,0.2393,0.2893,0.2982,0.3046,0.2619,0.2393,0.2127,0.1918,0.3038,0.3401,0.3328,0.2909,0.2482,0.2152,0.2127,0.2111,0.1862,0.2055,0.1862,0.1668,0.1628,0.1620,0.1692,0.1821,0.1660,0.1507,0.1475,0.1330,0.1515,0.1805,0.1604,0.1442,0.1346,0.1330,0.1209,0.1152,0.1160,0.1394,0.1628,0.1604,0.1571,0.1499,0.1354,0.1249,0.1491,0.1765,0.1628,0.1410,0.1378,0.1257,0.1217,0.1225,0.1152,0.1104,0.1080,0.1040,0.1032,0.0967
0.0903,0.0919,0.0895,0.0959,0.0967,0.0951,0.1225,0.1475,0.1426,0.1402,0.1370,0.1378,0.1886,0.2659,0.3546,0.3191,0.2829,0.2450,0.2256,0.2369,0.2555,0.2418,0.2804,0.2563,0.3546,0.4400,0.4537,0.4223,0.3981,0.4730,0.5004,0.4529,0.5423,0.5158,0.5738,0.5512,0.4223,0.4045,0.2821,0.2966,0.2700,0.1676,1.0936,0.9026,0.7752,0.6423,0.5947,0.5593,0.4884,0.4464,0.4287,0.5077,0.6173,0.5810,0.5593,0.4956,0.5053,0.5375,0.5633,1.2829,0.0000,0.0000,0.0000,0.0000,0.0000,1.0549,2.6972,2.6086,2.5723,0.1467,3.2936,3.3000,3.3000,0.6439,0.6834,0.6060,0.5101,0.4988,0.5004,0.5657,0.5012,0.5512,0.7156,0.8373,0.9968,0.9018,1.0500,1.5021,1.5658,1.5440,1.4441,2.0944,1.7777,1.6230,1.5021,1.3023,1.1975,1.0766,0.9348,0.9598,0.9574,1.2596,1.2314,1.1959,1.1790,1.2297,1.2168,1.2032,1.5626,0.8123,0.6689,0.5931,0.5238,0.4722,0.5093,0.4537,0.4053,0.3820,0.3747,0.4384,0.5947,1.3732,1.8817,2.2604,0.8091,0.7785,0.6560,0.5770,0.5359,0.4867,0.4779,0.4005,0.3941,0.3852,0.6439,1.4086,1.8922,2.2693,3.1703,1.5690,2.0042,1.8067,1.5223,1.2870,1.0605,0.8663,0.7317,0.6100,0.5149,0.4231,0.3610,0.3038,0.2651,0.2297,0.2039,0.1910,0.1668,0.1515,0.1378,0.1297,0.1201,0.1144,0.1120,0.1112,0.1040,0.1064,0.1015,0.0983,0.0967,0.0951,0.0967,0.0911,0.0911,0.0935,0.0967,0.0959,0.0895,0.0927,0.0895,0.0895,0.0943,0.0919,0.0919,0.0919,0.0895,0.0870,0.0911,0.0911,0.0967,0.0878,0.0862,0.0911,0.0903,0.0927,0.0935,0.0886,0.0935,0.0870,0.0943,0.0935
0.0903,0.0911,0.0903,0.0919,0.0895,0.0959,0.0975,0.1032,0.1120,0.1257,0.1152,0.1128,0.1080,0.1136,0.1168,0.1104,0.1305,0.1563,0.1410,0.1273,0.1249,0.1136,0.1120,0.1056,0.1015,0.1249,0.1491,0.1442,0.1692,0.1813,0.2635,1.0291,0.0000,0.0000,0.8478,0.6930,0.7889,0.8018,0.6890,0.6882,0.5609,0.5367,0.4303,0.2998,0.2885,1.0307,0.9098,1.1564,1.2451,1.1258,1.2314,1.2579,1.1838,1.0388,0.9227,0.8325,0.9533,1.0017,0.9235,0.8889,0.7970,0.9630,0.0000,0.0000,2.6142,0.0000,0.0000,0.6326,0.7148,0.6100,0.5802,0.4964,0.4352,0.8582,3.3000,3.3000,2.4925,1.8092,1.0363,0.3030,0.0000,0.0000,0.0000,0.4513,0.4964,0.7277,1.5142,1.6633,1.5996,1.7487,1.8688,1.6448,1.6174,1.5473,1.6359,2.0840,1.9389,1.5593,1.3273,1.1185,1.0210,1.0251,0.9219,0.8752,0.9566,0.8993,0.7760,0.6399,0.6133,1.5424,3.1211,2.4772,3.2718,3.2702,3.2492,2.9164,2.7085,2.3201,1.9518,1.6045,1.2934,1.0742,0.9412,0.8381,0.7253,0.6116,0.5319,0.4448,0.3941,0.3409,0.2982,0.2925,0.2474,0.2184,0.2031,0.6955,1.3764,1.8212,2.3426,1.0613,1.3933,1.1717,0.9549,0.8091,0.6777,0.5697,0.4755,0.3957,0.3522,0.3159,0.2700,0.2329,0.2031,0.1870,0.1676,0.1539,0.1684,0.1531,0.1418,0.1314,0.1233,0.1152,0.1112,0.1056,0.1040,0.1040,0.1015,0.0975,0.0943,0.1088,0.1015,0.1015,0.1023,0.1007,0.0943,0.0919,0.0935,0.0935,0.0919,0.0935,0.0911,0.0927,0.0878,0.0927,0.0935,0.0903,0.0911,0.0919,0.0927,0.0886,0.0919,0.0951,0.0927,0.0895,0.0878,0.0903,0.0935,0.0895,0.0895,0.0911
0.1064,0.1160,0.1241,0.1217,0.1152,0.1128,0.1338,0.1241,0.1297,0.1289,0.1442,0.1539,0.1571,0.1410,0.1330,0.1330,0.1402,0.1362,0.1346,0.1257,0.1370,0.1547,0.2007,0.2184,0.1958,0.2015,0.1853,0.1918,0.2426,0.2490,0.2579,0.2289,0.2321,0.2176,0.1934,0.1821,0.1773,0.2305,0.2547,0.2256,0.2119,0.2127,0.2458,0.2410,0.2434,0.2941,0.2506,0.3022,0.2603,0.1950,0.1499,0.0588,0.1040,0.0959,0.1048,1.2120,0.9960,0.8292,0.6834,0.5625,0.4690,0.3908,0.4078,0.3892,0.3933,0.3916,0.3981,0.4900,0.4601,0.5738,0.6922,1.4739,0.0000,0.0000,0.0000,0.0000,1.8019,1.7366,2.5973,2.6231,2.5812,2.5514,2.5505,3.3000,3.3000,3.3000,0.9437,1.0573,0.9219,0.1507,0.0000,0.0000,0.0000,0.5093,0.5560,0.5133,0.8526,1.0952,1.1403,1.2040,1.2797,1.2853,1.3353,1.2128,1.0726,1.1959,0.9904,0.9058,0.8357,0.8091,0.7229,0.6560,0.6681,0.6632,0.6334,0.8824,0.9235,0.7809,0.7623,0.7841,0.8107,1.2507,0.7382,0.6842,0.5834,0.4908,0.4086,0.4738,0.4408,0.3908,0.3304,0.2901,0.3409,0.3248,1.1371,1.6834,2.0775,0.2450,0.2152,0.2007,0.1821,0.1588,0.1531,0.1539,0.1652,0.1668,1.0718,1.6705,1.7294,2.9100,1.5344,2.0807,1.8406,1.5521,1.3208,1.0790,0.8784,0.7164,0.5963,0.4980,0.4239,0.3530,0.3014,0.2611,0.2490,0.2434,0.2361,0.2127,0.1958,0.1741,0.1571,0.1434,0.1362,0.1257,0.1209,0.1152,0.1152,0.1104,0.1032,0.1620,0.1515,0.1483,0.1378,0.1346,0.1555,0.1539,0.1451,0.1362,0.1241,0.1193,0.1096,0.1064,0.1064,0.1032,0.0991,0.0983,0.0983,0.0935,0.0967,0.0943
0.0862,0.0935,0.0870,0.0903,0.0919,0.0951,0.1064,0.1281,0.1273,0.1193,0.1128,0.1426,0.1483,0.1588,0.1652,0.2321,0.2055,0.1974,0.2498,0.2393,0.2587,0.3103,0.2692,0.2788,0.6310,1.4199,1.9099,2.3676,0.9187,0.9138,0.8864,0.8381,0.7349,0.7736,0.6930,0.6963,0.6608,0.5448,0.5722,0.4658,0.4569,0.4110,0.2708,1.3547,1.1758,1.0307,0.8405,0.6882,0.5689,0.4755,0.3949,0.3280,0.2804,0.2595,0.2337,0.3667,0.4215,0.4755,0.6036,0.6366,0.5996,0.6721,1.3208,1.8857,2.2274,1.8632,2.0219,2.1895,2.2419,2.1823,2.1597,2.0163,1.4900,1.1234,1.5408,2.9325,3.3000,2.5409,2.5304,2.5280,2.5264,0.8357,0.9525,0.9695,0.8381,0.7301,0.7221,0.6882,0.6689,0.6632,0.7559,0.6995,0.7785,1.0774,1.1548,1.2636,1.4127,1.3458,1.1983,1.0436,1.0815,1.0339,1.1733,1.1870,1.1508,1.1911,1.3990,1.4014,1.3015,1.2346,1.2233,1.2604,1.1951,1.0702,0.9179,0.7744,0.6366,0.5375,0.5383,0.6060,0.6189,0.5327,0.5327,0.5464,0.7341,1.6448,1.4240,3.3000,3.2790,3.2726,2.0227,1.9018,1.5843,1.4626,1.3313,1.2120,1.0259,0.9437,0.9646,1.7890,2.2306,2.6029,3.2573,3.2734,3.2275,2.8745,2.6456,2.4796,2.0944,1.7052,1.3724,1.1105,0.9122,0.7680,0.6737,1.5142,0.8752,0.3763,0.3215,0.2764,0.2667,0.2821,0.2748,0.2369,0.2063,0.1797,0.1596,0.1515,0.1378,0.1265,0.1225,0.1177,0.1185,0.1128,0.1112,0.1023,0.1064,0.1032,0.0999,0.0959,0.0935,0.0935,0.0927,0.0943,0.0959,0.0935,0.0895,0.0935,0.0903,0.0903,0.0935,0.0911,0.0895,0.0911,0.0903,0.0967,0.0919,0.0951,0.0927,0.0935
0.1999,0.3433,0.4053,0.3989,0.3481,0.3288,0.4053,0.4634,0.3916,0.3457,0.3014,0.2788,0.2933,0.3481,0.4166,0.5303,0.6890,0.6745,0.6036,0.6600,0.7962,0.8776,0.9259,0.8647,0.8437,0.8107,0.6705,0.5536,0.4585,0.3884,0.3232,0.2764,0.2393,0.2192,0.2426,0.3949,0.4424,0.4344,0.4545,0.4795,0.4271,0.4867,0.5295,0.4674,0.3965,0.7632,1.2813,1.9502,1.9695,1.9389,1.6448,2.0662,2.8036,3.2710,3.2581,3.3000,3.3000,3.3000,3.3000,3.3000,2.5272,0.7680,1.2160,1.1089,1.0234,0.9155,0.9187,0.9517,1.2660,1.2314,1.3595,1.2571,1.2491,1.1435,1.0895,1.2910,1.4135,1.3667,1.2700,1.2201,1.2185,1.0895,0.9493,0.9340,0.9896,0.9203,0.8550,0.7664,0.6850,0.6842,0.6568,0.5593,0.5206,0.4835,0.4795,0.4706,0.4110,0.4207,0.4303,0.4400,0.3691,0.4279,0.4005,0.3779,0.3264,0.3119,0.3030,0.3215,0.2804,0.2571,0.2264,0.2007,0.1773,0.1628,0.1475,0.1330,0.1265,0.1265,0.1273,0.1507,0.1354,0.1370,0.1370,0.1289,0.1225,0.1136,0.1185,0.1152,0.1096,0.1040,0.1015,0.1007,0.0975,0.0983,0.0967,0.0967,0.0951,0.0959,0.0943,0.0911,0.0911,0.0935,0.0927,0.0895,0.0927,0.0919,0.0935,0.0927,0.0967,0.1032,0.1023,0.0991,0.0975,0.0935,0.0927,0.0959,0.0919,0.0927,0.0935,0.0935,0.0903,0.0967,0.0895,0.0919,0.0911,0.0935,0.0878,0.0919,0.0903,0.0911,0.0895,0.0927,0.0903,0.0911,0.0903,0.0943,0.0911,0.0935,0.0903,0.0911,0.0878,0.0903,0.0903,0.0943,0.0895,0.0911,0.0870,0.0975,0.1088,0.1128,0.1289,0.1346,0.1346,0.1644,0.1862,0.1870,0.1733,0.1668,0.1612,0.1491
